,dataset,embed_model,fm,fold,framework,model_name,prec,rec,vector_name,ds_size
48,D-W(V2),MultiKE,0.9272132441684822,2,EAGER RF,RF,0.9892291993974829,0.8725142857142857,SimAndEmb,100K
3,D-W(V2),MultiKE,0.9243591112195568,3,EAGER MLP,MLP,0.9912831583423282,0.8659,SimAndEmb,100K
48,D-W(V2),MultiKE,0.916027257605838,3,EAGER RF,RF,0.988306124811856,0.8536,SimAndEmb,100K
3,D-W(V2),MultiKE,0.9338419700861156,4,EAGER MLP,MLP,0.9908784866944532,0.8830142857142858,SimAndEmb,100K
48,D-W(V2),MultiKE,0.9319843115999308,4,EAGER RF,RF,0.9851043175199324,0.8843,SimAndEmb,100K
3,D-W(V2),MultiKE,0.941730773552258,5,EAGER MLP,MLP,0.9899214185603376,0.8980142857142858,SimAndEmb,100K
48,D-W(V2),MultiKE,0.9104861309473262,5,EAGER RF,RF,0.9905262627450322,0.8424142857142857,SimAndEmb,100K
3,D-Y(V1),MultiKE,0.9956238201475888,1,EAGER MLP,MLP,0.996707135494216,0.9945428571428572,SimAndEmb,100K
48,D-Y(V1),MultiKE,0.9913728540154396,1,EAGER RF,RF,0.9995498373605948,0.9833285714285714,SimAndEmb,100K
3,D-Y(V1),MultiKE,0.9933079836976444,2,EAGER MLP,MLP,0.999623848034606,0.9870714285714286,SimAndEmb,100K
48,D-Y(V1),MultiKE,0.9917569561930816,2,EAGER RF,RF,0.9996371816268776,0.9840000000000001,SimAndEmb,100K
3,D-Y(V1),MultiKE,0.9889694204614364,3,EAGER MLP,MLP,0.999620570894869,0.9785428571428572,SimAndEmb,100K
48,D-Y(V1),MultiKE,0.9908493529699974,3,EAGER RF,RF,0.9995784148397976,0.9822714285714286,SimAndEmb,100K
3,D-Y(V1),MultiKE,0.99095061746185,4,EAGER MLP,MLP,0.9996365962147862,0.9824142857142856,SimAndEmb,100K
48,D-Y(V1),MultiKE,0.9909443912138262,4,EAGER RF,RF,0.9995204115740672,0.9825142857142856,SimAndEmb,100K
3,D-Y(V1),MultiKE,0.991582721898604,5,EAGER MLP,MLP,0.9996370552111612,0.9836571428571428,SimAndEmb,100K
48,D-Y(V1),MultiKE,0.9916197497444168,5,EAGER RF,RF,0.9995500595082586,0.9838142857142858,SimAndEmb,100K
3,D-Y(V2),MultiKE,0.9966829546670469,1,EAGER MLP,MLP,0.9953693809218492,0.998,SimAndEmb,100K
48,D-Y(V2),MultiKE,0.9929914099845452,1,EAGER RF,RF,0.9993489112348984,0.9867142857142858,SimAndEmb,100K
3,D-Y(V2),MultiKE,0.9962832732975744,2,EAGER MLP,MLP,0.9988655781961258,0.9937142857142856,SimAndEmb,100K
48,D-Y(V2),MultiKE,0.9933470320290836,2,EAGER RF,RF,0.9991905876911514,0.9875714285714284,SimAndEmb,100K
3,D-Y(V2),MultiKE,0.9962909392945624,3,EAGER MLP,MLP,0.9987366849464526,0.9938571428571428,SimAndEmb,100K
48,D-Y(V2),MultiKE,0.9938660001149228,3,EAGER RF,RF,0.9994366115797988,0.9883571428571428,SimAndEmb,100K
3,D-Y(V2),MultiKE,0.9951439248850538,4,EAGER MLP,MLP,0.9993517064526818,0.9909714285714286,SimAndEmb,100K
48,D-Y(V2),MultiKE,0.993367203949496,4,EAGER RF,RF,0.9994216059111876,0.9873857142857144,SimAndEmb,100K
3,D-Y(V2),MultiKE,0.9958791701006916,5,EAGER MLP,MLP,0.9992090314230244,0.9925714285714284,SimAndEmb,100K
48,D-Y(V2),MultiKE,0.9937420518310426,5,EAGER RF,RF,0.9996097307141928,0.9879428571428572,SimAndEmb,100K
3,EN-DE(V1),MultiKE,0.9831254056392874,1,EAGER MLP,MLP,0.992645988058832,0.9737857142857144,SimAndEmb,100K
48,EN-DE(V1),MultiKE,0.974711140178766,1,EAGER RF,RF,0.9919390622688952,0.9580714285714286,SimAndEmb,100K
3,EN-DE(V1),MultiKE,0.9817224444331932,2,EAGER MLP,MLP,0.994256999282125,0.9695,SimAndEmb,100K
48,EN-DE(V1),MultiKE,0.9734464345472801,2,EAGER RF,RF,0.9917874825817544,0.9557714285714286,SimAndEmb,100K
3,EN-DE(V1),MultiKE,0.981891784436332,3,EAGER MLP,MLP,0.9938538084436964,0.9702142857142856,SimAndEmb,100K
48,EN-DE(V1),MultiKE,0.975047121937074,3,EAGER RF,RF,0.9898292611127464,0.9607,SimAndEmb,100K
3,EN-DE(V1),MultiKE,0.9830650219527493,4,EAGER MLP,MLP,0.9923151935028454,0.9739857142857142,SimAndEmb,100K
48,EN-DE(V1),MultiKE,0.9741252295342544,4,EAGER RF,RF,0.990085424689063,0.9586714285714286,SimAndEmb,100K
3,EN-DE(V1),MultiKE,0.985079349100087,5,EAGER MLP,MLP,0.9917184265010353,0.9785285714285714,SimAndEmb,100K
48,EN-DE(V1),MultiKE,0.974125340599455,5,EAGER RF,RF,0.9912310536044362,0.9576,SimAndEmb,100K
3,EN-DE(V2),MultiKE,0.9883094687558344,1,EAGER MLP,MLP,0.9936036270178176,0.9830714285714286,SimAndEmb,100K
48,EN-DE(V2),MultiKE,0.9811969268095432,1,EAGER RF,RF,0.9920278004905968,0.9706,SimAndEmb,100K
3,EN-DE(V2),MultiKE,0.989990678999068,2,EAGER MLP,MLP,0.9937670937095148,0.9862428571428572,SimAndEmb,100K
48,EN-DE(V2),MultiKE,0.98249915271959,2,EAGER RF,RF,0.9919480481661059,0.9732285714285714,SimAndEmb,100K
3,EN-DE(V2),MultiKE,0.987889074276509,3,EAGER MLP,MLP,0.9946993395898506,0.9811714285714286,SimAndEmb,100K
48,EN-DE(V2),MultiKE,0.9822507416577042,3,EAGER RF,RF,0.9927050962197808,0.9720142857142856,SimAndEmb,100K
3,EN-DE(V2),MultiKE,0.9879774505292224,4,EAGER MLP,MLP,0.9946143154968728,0.9814285714285714,SimAndEmb,100K
48,EN-DE(V2),MultiKE,0.9820201830488396,4,EAGER RF,RF,0.9932634839916414,0.9710285714285716,SimAndEmb,100K
3,EN-DE(V2),MultiKE,0.9891087546097664,5,EAGER MLP,MLP,0.993542621580328,0.9847142857142858,SimAndEmb,100K
48,EN-DE(V2),MultiKE,0.9822155900142016,5,EAGER RF,RF,0.9913849556878209,0.9732142857142856,SimAndEmb,100K
3,EN-FR(V1),MultiKE,0.9774133573482846,1,EAGER MLP,MLP,0.9940761094368612,0.9613,SimAndEmb,100K
48,EN-FR(V1),MultiKE,0.9617850844506098,1,EAGER RF,RF,0.9946431024220502,0.9310285714285714,SimAndEmb,100K
3,EN-FR(V1),MultiKE,0.9758390824673244,2,EAGER MLP,MLP,0.9945706995787099,0.9578,SimAndEmb,100K
48,EN-FR(V1),MultiKE,0.9635006404687936,2,EAGER RF,RF,0.9939548588960784,0.9348571428571428,SimAndEmb,100K
3,EN-FR(V1),MultiKE,0.9774102285092492,3,EAGER MLP,MLP,0.9928960943257183,0.9624,SimAndEmb,100K
48,EN-FR(V1),MultiKE,0.9632181877079836,3,EAGER RF,RF,0.9937412651151486,0.9345142857142856,SimAndEmb,100K
3,EN-FR(V1),MultiKE,0.9752373181410868,4,EAGER MLP,MLP,0.9950790181823588,0.9561714285714286,SimAndEmb,100K
48,EN-FR(V1),MultiKE,0.9615361916846176,4,EAGER RF,RF,0.9941271584599426,0.9310142857142856,SimAndEmb,100K
3,EN-FR(V1),MultiKE,0.9754978033267032,5,EAGER MLP,MLP,0.9954202786492796,0.9563571428571428,SimAndEmb,100K
48,EN-FR(V1),MultiKE,0.9624057934712942,5,EAGER RF,RF,0.9935958867643256,0.9331142857142856,SimAndEmb,100K
