,model_name,vector_name,dataset,embed_model,fm,prec,rec,fold,ds_size
0,MLP,OnlyEmb,D-W(V1),MultiKE,0.8533667659196573,0.9450422307069304,0.7779047619047619,2,15K
3,MLP,SimAndEmb,D-W(V1),MultiKE,0.8885866722460508,0.9856115107913668,0.8089523809523811,2,15K
45,RF,OnlyEmb,D-W(V1),MultiKE,0.8709479496881073,0.9402737911238684,0.8111428571428572,2,15K
48,RF,SimAndEmb,D-W(V1),MultiKE,0.8596538523750473,0.990679756430968,0.7592380952380953,2,15K
0,MLP,OnlyEmb,D-W(V1),BootEA,0.7671104334056654,0.9983208670431996,0.6228571428571429,3,15K
3,MLP,SimAndEmb,D-W(V1),BootEA,0.8159332920164517,0.9988963995033798,0.6896190476190476,3,15K
45,RF,OnlyEmb,D-W(V1),BootEA,0.7007353395538528,0.9977124758050324,0.54,3,15K
48,RF,SimAndEmb,D-W(V1),BootEA,0.8073342415985467,0.9992973580663294,0.6772380952380952,3,15K
0,MLP,OnlyEmb,D-W(V1),RDGCN,0.6888006736436907,0.9347045380346066,0.5453333333333333,3,15K
3,MLP,SimAndEmb,D-W(V1),RDGCN,0.8001746629550789,0.937220304308912,0.6980952380952381,3,15K
45,RF,OnlyEmb,D-W(V1),RDGCN,0.6747318533300074,0.9772398843930636,0.5152380952380953,3,15K
48,RF,SimAndEmb,D-W(V1),RDGCN,0.8137078651685393,0.992054794520548,0.6897142857142857,3,15K
0,MLP,OnlyEmb,D-W(V1),MultiKE,0.8622656049319292,0.9360847741215842,0.7992380952380952,3,15K
3,MLP,SimAndEmb,D-W(V1),MultiKE,0.8170834504074178,0.9965729952021932,0.6923809523809524,3,15K
45,RF,OnlyEmb,D-W(V1),MultiKE,0.8623738687194424,0.9500343800137522,0.7895238095238095,3,15K
48,RF,SimAndEmb,D-W(V1),MultiKE,0.8568487212830517,0.9938411261940674,0.7530476190476191,3,15K
0,MLP,OnlyEmb,D-W(V1),BootEA,0.7259393939393941,0.9981666666666666,0.5703809523809524,4,15K
3,MLP,SimAndEmb,D-W(V1),BootEA,0.7808727948003714,0.9994058229352348,0.6407619047619048,4,15K
45,RF,OnlyEmb,D-W(V1),BootEA,0.6571629482835774,0.9994166828699202,0.4895238095238095,4,15K
48,RF,SimAndEmb,D-W(V1),BootEA,0.8071769248239837,0.999437570303712,0.6769523809523811,4,15K
0,MLP,OnlyEmb,D-W(V1),RDGCN,0.6876495931067497,0.9249839021249197,0.5472380952380952,4,15K
3,MLP,SimAndEmb,D-W(V1),RDGCN,0.7959364938381259,0.9540857066808625,0.6827619047619048,4,15K
45,RF,OnlyEmb,D-W(V1),RDGCN,0.6784800648904973,0.9837163017912068,0.5178095238095238,4,15K
48,RF,SimAndEmb,D-W(V1),RDGCN,0.8219147511716135,0.9921875,0.7015238095238095,4,15K
0,MLP,OnlyEmb,D-W(V1),MultiKE,0.7950449193683389,0.9599784395634012,0.6784761904761905,4,15K
3,MLP,SimAndEmb,D-W(V1),MultiKE,0.8663273506563086,0.9902020820575628,0.77,4,15K
45,RF,OnlyEmb,D-W(V1),MultiKE,0.8616780045351473,0.9389038634321654,0.7961904761904762,4,15K
48,RF,SimAndEmb,D-W(V1),MultiKE,0.8551156366787629,0.9913349240236092,0.7518095238095238,4,15K
0,MLP,OnlyEmb,D-W(V1),BootEA,0.7840712056409664,0.9972067039106144,0.6459999999999999,5,15K
3,MLP,SimAndEmb,D-W(V1),BootEA,0.8088626962089873,0.998600811529313,0.6797142857142857,5,15K
45,RF,OnlyEmb,D-W(V1),BootEA,0.6832445975571563,0.9979871912168344,0.5194285714285715,5,15K
48,RF,SimAndEmb,D-W(V1),BootEA,0.823687451024292,0.9989139288623404,0.7007619047619048,5,15K
0,MLP,OnlyEmb,D-W(V1),RDGCN,0.7776260446823621,0.9117458690918406,0.6779047619047619,5,15K
3,MLP,SimAndEmb,D-W(V1),RDGCN,0.8390115667718191,0.9365023474178404,0.7599047619047619,5,15K
