,dataset,framework,metric,value
37,abt-buy,Magellan XGBoost,fm,0.9753566796368354
38,abt-buy,Magellan RF,fm,0.9779507133592736
39,abt-buy,Magellan XGBoost,fm,0.9753566796368354
40,abt-buy,Magellan RF,fm,0.9785853341985724
41,abt-buy,Magellan XGBoost,fm,0.9753566796368354
42,abt-buy,Magellan RF,fm,0.9792207792207792
43,abt-buy,Magellan XGBoost,fm,0.9753566796368354
44,abt-buy,Magellan RF,fm,0.9785853341985724
45,dblp-scholar,Magellan XGBoost,fm,0.9974636230142838
46,dblp-scholar,Magellan RF,fm,0.9978621058257616
47,dblp-scholar,Magellan XGBoost,fm,0.9974636230142838
48,dblp-scholar,Magellan RF,fm,0.9978621058257616
49,dblp-scholar,Magellan XGBoost,fm,0.9974636230142838
50,dblp-scholar,Magellan RF,fm,0.9978621058257616
51,dblp-scholar,Magellan XGBoost,fm,0.9974636230142838
52,dblp-scholar,Magellan RF,fm,0.9978621058257616
53,dblp-scholar,Magellan XGBoost,fm,0.9974636230142838
54,dblp-scholar,Magellan RF,fm,0.9978621058257616
55,imdb-tmdb,Magellan XGBoost,fm,0.99637943519189
56,imdb-tmdb,Magellan RF,fm,0.9974701843151428
57,imdb-tmdb,Magellan XGBoost,fm,0.99637943519189
58,imdb-tmdb,Magellan RF,fm,0.9974720115565184
59,imdb-tmdb,Magellan XGBoost,fm,0.99637943519189
60,imdb-tmdb,Magellan RF,fm,0.9978339350180504
61,imdb-tmdb,Magellan XGBoost,fm,0.99637943519189
62,imdb-tmdb,Magellan RF,fm,0.9978323699421964
63,imdb-tmdb,Magellan XGBoost,fm,0.99637943519189
64,imdb-tmdb,Magellan RF,fm,0.9978323699421964
65,tmdb-tvdb,Magellan XGBoost,fm,0.9925287356321838
66,tmdb-tvdb,Magellan RF,fm,0.99511915015791
67,tmdb-tvdb,Magellan XGBoost,fm,0.9925287356321838
68,tmdb-tvdb,Magellan RF,fm,0.9951219512195122
69,tmdb-tvdb,Magellan XGBoost,fm,0.9925287356321838
70,tmdb-tvdb,Magellan RF,fm,0.9954075774971296
71,tmdb-tvdb,Magellan XGBoost,fm,0.9925287356321838
72,tmdb-tvdb,Magellan RF,fm,0.9948335246842711
73,tmdb-tvdb,Magellan XGBoost,fm,0.9925287356321838
74,tmdb-tvdb,Magellan RF,fm,0.9945449325294288
75,dblp-acm,Magellan XGBoost,fm,0.998069498069498
76,dblp-acm,Magellan RF,fm,0.998390730608304
77,dblp-acm,Magellan XGBoost,fm,0.998069498069498
78,dblp-acm,Magellan RF,fm,0.998390730608304
79,dblp-acm,Magellan XGBoost,fm,0.998069498069498
80,dblp-acm,Magellan RF,fm,0.9987129987129988
81,dblp-acm,Magellan XGBoost,fm,0.998069498069498
82,dblp-acm,Magellan RF,fm,0.998390730608304
83,dblp-acm,Magellan XGBoost,fm,0.998069498069498
84,dblp-acm,Magellan RF,fm,0.998390730608304
85,imdb-tvdb,Magellan XGBoost,fm,0.9911047345767574
86,imdb-tvdb,Magellan RF,fm,0.9916976810764389
87,imdb-tvdb,Magellan XGBoost,fm,0.9911047345767574
88,imdb-tvdb,Magellan RF,fm,0.9916976810764389
89,imdb-tvdb,Magellan XGBoost,fm,0.9911047345767574
90,imdb-tvdb,Magellan RF,fm,0.9916976810764389
91,imdb-tvdb,Magellan XGBoost,fm,0.9911047345767574
92,imdb-tvdb,Magellan RF,fm,0.9916976810764389
93,imdb-tvdb,Magellan XGBoost,fm,0.9911047345767574
94,imdb-tvdb,Magellan RF,fm,0.9916976810764389
95,abt-buy,Magellan XGBoost,fm,0.9753566796368354
96,abt-buy,Magellan RF,fm,0.9779507133592736
97,abt-buy,Magellan XGBoost,fm,0.9701686121919584
98,abt-buy,Magellan RF,fm,0.9719869706840389
99,abt-buy,Magellan XGBoost,fm,0.9793281653746768
100,abt-buy,Magellan RF,fm,0.9785296031229668
101,abt-buy,Magellan XGBoost,fm,0.9704530531845044
102,abt-buy,Magellan RF,fm,0.9711664482306684
103,abt-buy,Magellan XGBoost,fm,0.9719869706840389
104,abt-buy,Magellan RF,fm,0.9772579597140999
105,amazon-google,Magellan XGBoost,fm,0.7233796296296298
106,amazon-google,Magellan RF,fm,0.7235576923076924
107,amazon-google,Magellan XGBoost,fm,0.7288693743139407
108,amazon-google,Magellan RF,fm,0.7257044278320873
109,amazon-google,Magellan XGBoost,fm,0.7359913793103449
110,amazon-google,Magellan RF,fm,0.7441860465116279
111,amazon-google,Magellan XGBoost,fm,0.7135678391959799
112,amazon-google,Magellan RF,fm,0.719906048150323
113,amazon-google,Magellan XGBoost,fm,0.7169811320754718
114,amazon-google,Magellan RF,fm,0.7220011370096645
115,dblp-scholar,Magellan XGBoost,fm,0.9978592453839978
116,dblp-scholar,Magellan RF,fm,0.99812734082397
117,dblp-scholar,Magellan XGBoost,fm,0.9970627503337784
118,dblp-scholar,Magellan RF,fm,0.9975974372664176
119,dblp-scholar,Magellan XGBoost,fm,0.9977263608399092
120,dblp-scholar,Magellan RF,fm,0.9978598180845372
121,dblp-scholar,Magellan XGBoost,fm,0.9958583834335336
122,dblp-scholar,Magellan RF,fm,0.9970564624029972
123,dblp-scholar,Magellan XGBoost,fm,0.9963860259670728
124,dblp-scholar,Magellan RF,fm,0.9967871485943774
125,imdb-tmdb,Magellan XGBoost,fm,0.99637943519189
126,imdb-tmdb,Magellan RF,fm,0.9971119133574008
127,imdb-tmdb,Magellan XGBoost,fm,0.9901996370235936
128,imdb-tmdb,Magellan RF,fm,0.9956584659913168
129,imdb-tmdb,Magellan XGBoost,fm,0.9960188201230546
130,imdb-tmdb,Magellan RF,fm,0.9971098265895952
131,imdb-tmdb,Magellan XGBoost,fm,0.9971077368040492
132,imdb-tmdb,Magellan RF,fm,0.9960245753523672
133,imdb-tmdb,Magellan XGBoost,fm,0.9916515426497278
134,imdb-tmdb,Magellan RF,fm,0.9942112879884224
135,tmdb-tvdb,Magellan XGBoost,fm,0.9925287356321838
136,tmdb-tvdb,Magellan RF,fm,0.9948335246842711
137,tmdb-tvdb,Magellan XGBoost,fm,0.9936708860759492
138,tmdb-tvdb,Magellan RF,fm,0.9939603106125972
139,tmdb-tvdb,Magellan XGBoost,fm,0.9928098935864252
140,tmdb-tvdb,Magellan RF,fm,0.995410212277682
141,tmdb-tvdb,Magellan XGBoost,fm,0.9942561746122918
142,tmdb-tvdb,Magellan RF,fm,0.995410212277682
143,tmdb-tvdb,Magellan XGBoost,fm,0.9959816303099884
144,tmdb-tvdb,Magellan RF,fm,0.9971264367816092
145,dblp-acm,Magellan XGBoost,fm,0.998069498069498
146,dblp-acm,Magellan RF,fm,0.998390730608304
147,dblp-acm,Magellan XGBoost,fm,0.9977499196399872
148,dblp-acm,Magellan RF,fm,0.9990356798457088
149,dblp-acm,Magellan XGBoost,fm,0.9987171263630532
150,dblp-acm,Magellan RF,fm,0.9993577392421324
151,dblp-acm,Magellan XGBoost,fm,0.9996789727126808
152,dblp-acm,Magellan RF,fm,1.0
153,dblp-acm,Magellan XGBoost,fm,0.997748472177549
154,dblp-acm,Magellan RF,fm,0.9987138263665596
155,imdb-tvdb,Magellan XGBoost,fm,0.9911047345767574
