,model_name,vector_name,dataset,embed_model,fm,prec,rec,fold
0,MLP,OnlyEmb,abt-buy,MultiKE,0.005194805194805194,1.0,0.0026041666666666665,5
3,MLP,SimAndEmb,abt-buy,MultiKE,0.9722589167767504,0.9865951742627346,0.9583333333333334,5
45,RF,OnlyEmb,abt-buy,MultiKE,0.6520874751491054,0.5273311897106109,0.8541666666666666,5
48,RF,SimAndEmb,abt-buy,MultiKE,0.9664694280078896,0.9760956175298804,0.95703125,5
0,MLP,OnlyEmb,amazon-google,BootEA,0.6374351720886375,0.5582163501238646,0.7428571428571429,1
3,MLP,SimAndEmb,amazon-google,BootEA,0.949944382647386,0.9617117117117115,0.9384615384615383,1
45,RF,OnlyEmb,amazon-google,BootEA,0.6474701768819416,0.517422748191979,0.8648351648351649,1
48,RF,SimAndEmb,amazon-google,BootEA,0.9752611324903792,0.9757975797579758,0.9747252747252748,1
0,MLP,OnlyEmb,amazon-google,RDGCN,0.6470588235294118,0.5625,0.7615384615384615,1
3,MLP,SimAndEmb,amazon-google,RDGCN,0.9597315436241609,0.9772209567198178,0.9428571428571428,1
45,RF,OnlyEmb,amazon-google,RDGCN,0.6805807622504537,0.5795981452859351,0.8241758241758241,1
48,RF,SimAndEmb,amazon-google,RDGCN,0.9736842105263156,0.9715536105032824,0.9758241758241758,1
0,MLP,OnlyEmb,amazon-google,MultiKE,0.6341920374707259,0.5526530612244898,0.743956043956044,1
3,MLP,SimAndEmb,amazon-google,MultiKE,0.9760712298274902,0.9887260428410372,0.9637362637362638,1
45,RF,OnlyEmb,amazon-google,MultiKE,0.6520455504006748,0.5290896646132786,0.8494505494505494,1
48,RF,SimAndEmb,amazon-google,MultiKE,0.9747252747252748,0.9747252747252748,0.9747252747252748,1
0,MLP,OnlyEmb,amazon-google,BootEA,0.6232085067036524,0.5379090183559457,0.7406593406593407,2
3,MLP,SimAndEmb,amazon-google,BootEA,0.9514348785871964,0.9556541019955654,0.9472527472527472,2
45,RF,OnlyEmb,amazon-google,BootEA,0.6281792490916429,0.4964901084875558,0.8549450549450549,2
48,RF,SimAndEmb,amazon-google,BootEA,0.9764898851831602,0.97170837867247,0.9813186813186812,2
0,MLP,OnlyEmb,amazon-google,RDGCN,0.6275085658345572,0.5657546337157988,0.7043956043956044,2
3,MLP,SimAndEmb,amazon-google,RDGCN,0.9614961496149615,0.9625550660792952,0.9604395604395604,2
45,RF,OnlyEmb,amazon-google,RDGCN,0.6588003933136677,0.5960854092526691,0.7362637362637363,2
48,RF,SimAndEmb,amazon-google,RDGCN,0.972054794520548,0.9693989071038251,0.9747252747252748,2
0,MLP,OnlyEmb,amazon-google,MultiKE,0.4716267339218159,0.5532544378698225,0.41098901098901097,2
3,MLP,SimAndEmb,amazon-google,MultiKE,0.9722838137472284,0.9809843400447428,0.9637362637362638,2
45,RF,OnlyEmb,amazon-google,MultiKE,0.6360882734746862,0.5246252676659529,0.8076923076923077,2
48,RF,SimAndEmb,amazon-google,MultiKE,0.9781181619256016,0.9738562091503268,0.9824175824175824,2
0,MLP,OnlyEmb,amazon-google,BootEA,0.6183206106870229,0.5463743676222597,0.7120879120879121,3
3,MLP,SimAndEmb,amazon-google,BootEA,0.9578246392896781,0.967488789237668,0.9483516483516484,3
45,RF,OnlyEmb,amazon-google,BootEA,0.6511066398390342,0.5136507936507937,0.8890109890109891,3
48,RF,SimAndEmb,amazon-google,BootEA,0.9763866007688082,0.9758507135016464,0.9769230769230768,3
0,MLP,OnlyEmb,amazon-google,RDGCN,0.6283487579152459,0.5643044619422573,0.7087912087912088,3
3,MLP,SimAndEmb,amazon-google,RDGCN,0.9688195991091316,0.981941309255079,0.956043956043956,3
45,RF,OnlyEmb,amazon-google,RDGCN,0.6603301650825413,0.6060606060606061,0.7252747252747253,3
